Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2017,June,4 Western, Pyrenees,265,"3,601.5"
2017,June,4 Western, Queenscliffe,94,"3,176.7"
2017,June,4 Western, Southern Grampians,417,"2,586.4"
2017,June,4 Western, Surf Coast,792,"2,526.6"
2017,June,4 Western, Swan Hill,866,"4,154.1"
2017,June,4 Western, Warrnambool,"1,387","4,012.3"
2017,June,4 Western, West Wimmera,74,"1,900.4"
2017,June,4 Western, Yarriambiack,225,"3,366.2"
2017,June,4 Western,Total,"36,638","3,732.7"
2017,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,009",
2017,June,Justice Institutions and Immigration Facilities,Total,"1,009",
2017,June,Unincorporated Vic, Unincorporated Vic,78,
2017,June,Unincorporated Vic,Total,78,
2016,June,1 North West Metro, Banyule,"4,468","3,505.8"
2016,June,1 North West Metro, Brimbank,"9,274","4,541.8"
2016,June,1 North West Metro, Darebin,"7,707","4,968.2"
2016,June,1 North West Metro, Hobsons Bay,"3,227","3,453.4"
2016,June,1 North West Metro, Hume,"9,634","4,653.2"
2016,June,1 North West Metro, Maribyrnong,"4,502","5,178.2"
2016,June,1 North West Metro, Melbourne,"12,764","8,736.7"
2016,June,1 North West Metro, Melton,"5,472","3,869.3"
2016,June,1 North West Metro, Moonee Valley,"4,905","3,992.0"
2016,June,1 North West Metro, Moreland,"8,163","4,737.8"
2016,June,1 North West Metro, Nillumbik,"1,302","2,028.9"
2016,June,1 North West Metro, Whittlesea,"7,517","3,630.4"
2016,June,1 North West Metro, Wyndham,"7,152","3,150.5"
2016,June,1 North West Metro, Yarra,"6,565","7,067.2"
2016,June,1 North West Metro,Total,"92,652","4,524.0"
2016,June,2 Eastern, Alpine,165,"1,311.8"
2016,June,2 Eastern, Bass Coast,"1,277","3,816.0"
2016,June,2 Eastern, Baw Baw,"1,452","2,945.5"
2016,June,2 Eastern, Benalla,578,"4,133.9"
2016,June,2 Eastern, Boroondara,"4,506","2,541.8"
2016,June,2 Eastern, East Gippsland,"1,895","4,155.7"
2016,June,2 Eastern, Greater Shepparton,"3,065","4,710.2"
2016,June,2 Eastern, Indigo,201,"1,243.4"
2016,June,2 Eastern, Knox,"4,675","2,915.4"
2016,June,2 Eastern, Latrobe,"5,435","7,283.4"
2016,June,2 Eastern, Manningham,"2,268","1,850.4"
2016,June,2 Eastern, Mansfield,206,"2,374.9"
2016,June,2 Eastern, Maroondah,"3,175","2,765.7"
2016,June,2 Eastern, Mitchell,"1,777","4,251.7"
2016,June,2 Eastern, Moira,653,"2,214.6"
2016,June,2 Eastern, Monash,"5,443","2,825.7"
2016,June,2 Eastern, Murrindindi,335,"2,384.0"
2016,June,2 Eastern, South Gippsland,576,"1,977.9"
2016,June,2 Eastern, Strathbogie,237,"2,288.3"
2016,June,2 Eastern, Towong,118,"1,951.7"
2016,June,2 Eastern, Wangaratta,866,"3,028.8"
2016,June,2 Eastern, Wellington,"1,858","4,268.3"
2016,June,2 Eastern, Whitehorse,"3,514","2,071.4"
2016,June,2 Eastern, Wodonga,"1,468","3,660.8"
2016,June,2 Eastern, Yarra Ranges,"3,367","2,169.1"
2016,June,2 Eastern,Total,"49,110","2,967.3"
2016,June,3 Southern Metro, Bayside,"2,829","2,749.0"
2016,June,3 Southern Metro, Cardinia,"2,966","3,039.8"
2016,June,3 Southern Metro, Casey,"10,015","3,201.8"
2016,June,3 Southern Metro, Frankston,"6,205","4,448.0"
2016,June,3 Southern Metro, Glen Eira,"3,745","2,520.5"
2016,June,3 Southern Metro, Greater Dandenong,"7,774","4,852.0"
2016,June,3 Southern Metro, Kingston,"4,676","2,942.0"
2016,June,3 Southern Metro, Mornington Peninsula,"5,043","3,122.1"
2016,June,3 Southern Metro, Port Phillip,"6,957","6,404.5"
2016,June,3 Southern Metro, Stonnington,"5,478","4,935.0"
2016,June,3 Southern Metro,Total,"55,688","3,708.4"
2016,June,4 Western, Ararat,497,"4,231.6"
2016,June,4 Western, Ballarat,"5,778","5,582.6"
2016,June,4 Western, Buloke,117,"1,861.9"
2016,June,4 Western, Campaspe,"1,339","3,561.6"
2016,June,4 Western, Central Goldfields,514,"3,927.6"
2016,June,4 Western, Colac-Otway,719,"3,365.8"
2016,June,4 Western, Corangamite,364,"2,241.0"
2016,June,4 Western, Gannawarra,233,"2,205.0"
2016,June,4 Western, Glenelg,776,"3,927.3"
2016,June,4 Western, Golden Plains,452,"2,053.1"
2016,June,4 Western, Greater Bendigo,"3,644","3,245.8"
2016,June,4 Western, Greater Geelong,"10,699","4,466.7"
2016,June,4 Western, Hepburn,457,"2,943.6"
2016,June,4 Western, Hindmarsh,123,"2,126.6"
2016,June,4 Western, Horsham,959,"4,823.0"
2016,June,4 Western, Loddon,229,"3,029.9"
2016,June,4 Western, Macedon Ranges,852,"1,794.4"
2016,June,4 Western, Mildura,"2,845","5,205.1"
2016,June,4 Western, Moorabool,"1,028","3,146.4"
2016,June,4 Western, Mount Alexander,505,"2,644.4"
2016,June,4 Western, Moyne,269,"1,607.2"
2016,June,4 Western, Northern Grampians,465,"4,019.0"
2016,June,4 Western, Pyrenees,258,"3,526.5"
2016,June,4 Western, Queenscliffe,104,"3,550.7"
2016,June,4 Western, Southern Grampians,504,"3,126.0"
2016,June,4 Western, Surf Coast,765,"2,511.1"
2016,June,4 Western, Swan Hill,835,"3,996.0"
2016,June,4 Western, Warrnambool,"1,162","3,393.5"
2016,June,4 Western, West Wimmera,64,"1,625.6"
2016,June,4 Western, Yarriambiack,223,"3,307.1"
2016,June,4 Western,Total,"36,779","3,801.2"
2016,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,735,
2016,June,Justice Institutions and Immigration Facilities,Total,735,
2016,June,Unincorporated Vic, Unincorporated Vic,65,
2016,June,Unincorporated Vic,Total,65,
2015,June,1 North West Metro, Banyule,"3,739","2,965.4"
2015,June,1 North West Metro, Brimbank,"8,835","4,398.6"
2015,June,1 North West Metro, Darebin,"7,143","4,700.1"
2015,June,1 North West Metro, Hobsons Bay,"3,299","3,598.6"
2015,June,1 North West Metro, Hume,"8,447","4,262.4"
2015,June,1 North West Metro, Maribyrnong,"3,841","4,530.4"
2015,June,1 North West Metro, Melbourne,"11,063","8,082.7"
2015,June,1 North West Metro, Melton,"4,955","3,672.7"
2015,June,1 North West Metro, Moonee Valley,"4,389","3,650.5"
2015,June,1 North West Metro, Moreland,"7,529","4,485.0"
2015,June,1 North West Metro, Nillumbik,990,"1,554.8"
2015,June,1 North West Metro, Whittlesea,"6,176","3,137.5"
2015,June,1 North West Metro, Wyndham,"6,377","2,982.5"
2015,June,1 North West Metro, Yarra,"5,843","6,497.8"
2015,June,1 North West Metro,Total,"82,626","4,177.9"
2015,June,2 Eastern, Alpine,141,"1,134.4"
2015,June,2 Eastern, Bass Coast,"1,112","3,413.6"
2015,June,2 Eastern, Baw Baw,"1,254","2,621.4"
2015,June,2 Eastern, Benalla,399,"2,865.8"
2015,June,2 Eastern, Boroondara,"3,811","2,180.8"
2015,June,2 Eastern, East Gippsland,"1,794","3,998.4"
2015,June,2 Eastern, Greater Shepparton,"3,078","4,772.9"
2015,June,2 Eastern, Indigo,206,"1,293.8"
2015,June,2 Eastern, Knox,"4,007","2,524.9"
2015,June,2 Eastern, Latrobe,"4,774","6,428.2"
2015,June,2 Eastern, Manningham,"2,120","1,755.2"
2015,June,2 Eastern, Mansfield,172,"2,016.4"
2015,June,2 Eastern, Maroondah,"2,924","2,587.1"
2015,June,2 Eastern, Mitchell,"1,398","3,472.1"
2015,June,2 Eastern, Moira,635,"2,168.1"
2015,June,2 Eastern, Monash,"4,676","2,471.8"
2015,June,2 Eastern, Murrindindi,299,"2,159.2"
2015,June,2 Eastern, South Gippsland,530,"1,841.5"
2015,June,2 Eastern, Strathbogie,179,"1,759.2"
2015,June,2 Eastern, Towong,85,"1,415.5"
2015,June,2 Eastern, Wangaratta,728,"2,586.8"
2015,June,2 Eastern, Wellington,"1,764","4,086.0"
